participant_id,random_id,trial_index,trial_number,time_elapsed,condition,category,level,selection_array,selection_index,rt_array,selection_type_array,final_choice_array,final_rt,index,test_choice,choice_type,choice_category,choice_match_category,choice_type_training_consistent
Beaver,p0dl5tzjk4h,6,1,53437,1-item,animals,one-subordinate,"[""stimuli/c3_sub4.jpg"",""stimuli/c3_bas4.jpg"",""stimuli/c3_bas3.jpg"",""stimuli/c3_sub5.jpg""]","[3,1,10,17]","[16199,17247,19259,20625]","[""select"",""select"",""select"",""select""]","[""stimuli/c3_sub4.jpg"",""stimuli/c3_bas4.jpg"",""stimuli/c3_bas3.jpg"",""stimuli/c3_sub5.jpg""]",25107,1,stimuli/c3_sub4.jpg,subordinate,animals,1,1
Beaver,p0dl5tzjk4h,6,1,53437,1-item,animals,one-subordinate,"[""stimuli/c3_sub4.jpg"",""stimuli/c3_bas4.jpg"",""stimuli/c3_bas3.jpg"",""stimuli/c3_sub5.jpg""]","[3,1,10,17]","[16199,17247,19259,20625]","[""select"",""select"",""select"",""select""]","[""stimuli/c3_sub4.jpg"",""stimuli/c3_bas4.jpg"",""stimuli/c3_bas3.jpg"",""stimuli/c3_sub5.jpg""]",25107,2,stimuli/c3_bas4.jpg,basic,animals,1,0
Beaver,p0dl5tzjk4h,6,1,53437,1-item,animals,one-subordinate,"[""stimuli/c3_sub4.jpg"",""stimuli/c3_bas4.jpg"",""stimuli/c3_bas3.jpg"",""stimuli/c3_sub5.jpg""]","[3,1,10,17]","[16199,17247,19259,20625]","[""select"",""select"",""select"",""select""]","[""stimuli/c3_sub4.jpg"",""stimuli/c3_bas4.jpg"",""stimuli/c3_bas3.jpg"",""stimuli/c3_sub5.jpg""]",25107,3,stimuli/c3_bas3.jpg,basic,animals,1,0
Beaver,p0dl5tzjk4h,6,1,53437,1-item,animals,one-subordinate,"[""stimuli/c3_sub4.jpg"",""stimuli/c3_bas4.jpg"",""stimuli/c3_bas3.jpg"",""stimuli/c3_sub5.jpg""]","[3,1,10,17]","[16199,17247,19259,20625]","[""select"",""select"",""select"",""select""]","[""stimuli/c3_sub4.jpg"",""stimuli/c3_bas4.jpg"",""stimuli/c3_bas3.jpg"",""stimuli/c3_sub5.jpg""]",25107,4,stimuli/c3_sub5.jpg,subordinate,animals,1,1
Beaver,p0dl5tzjk4h,7,2,65117,1-item,vegetables,one-subordinate,"[""stimuli/c1_sub5.jpg"",""stimuli/c1_sub4.jpg"",""stimuli/c1_bas4.jpg"",""stimuli/c1_bas3.jpg""]","[1,13,20,19]","[2952,5054,6546,7417]","[""select"",""select"",""select"",""select""]","[""stimuli/c1_sub5.jpg"",""stimuli/c1_sub4.jpg"",""stimuli/c1_bas4.jpg"",""stimuli/c1_bas3.jpg""]",11673,1,stimuli/c1_sub5.jpg,subordinate,vegetables,1,1
Beaver,p0dl5tzjk4h,7,2,65117,1-item,vegetables,one-subordinate,"[""stimuli/c1_sub5.jpg"",""stimuli/c1_sub4.jpg"",""stimuli/c1_bas4.jpg"",""stimuli/c1_bas3.jpg""]","[1,13,20,19]","[2952,5054,6546,7417]","[""select"",""select"",""select"",""select""]","[""stimuli/c1_sub5.jpg"",""stimuli/c1_sub4.jpg"",""stimuli/c1_bas4.jpg"",""stimuli/c1_bas3.jpg""]",11673,2,stimuli/c1_sub4.jpg,subordinate,vegetables,1,1
Beaver,p0dl5tzjk4h,7,2,65117,1-item,vegetables,one-subordinate,"[""stimuli/c1_sub5.jpg"",""stimuli/c1_sub4.jpg"",""stimuli/c1_bas4.jpg"",""stimuli/c1_bas3.jpg""]","[1,13,20,19]","[2952,5054,6546,7417]","[""select"",""select"",""select"",""select""]","[""stimuli/c1_sub5.jpg"",""stimuli/c1_sub4.jpg"",""stimuli/c1_bas4.jpg"",""stimuli/c1_bas3.jpg""]",11673,3,stimuli/c1_bas4.jpg,basic,vegetables,1,0
Beaver,p0dl5tzjk4h,7,2,65117,1-item,vegetables,one-subordinate,"[""stimuli/c1_sub5.jpg"",""stimuli/c1_sub4.jpg"",""stimuli/c1_bas4.jpg"",""stimuli/c1_bas3.jpg""]","[1,13,20,19]","[2952,5054,6546,7417]","[""select"",""select"",""select"",""select""]","[""stimuli/c1_sub5.jpg"",""stimuli/c1_sub4.jpg"",""stimuli/c1_bas4.jpg"",""stimuli/c1_bas3.jpg""]",11673,4,stimuli/c1_bas3.jpg,basic,vegetables,1,0
Beaver,p0dl5tzjk4h,8,3,76578,1-item,vehicles,one-subordinate,"[""stimuli/c2_sub4.jpg"",""stimuli/c2_bas3.jpg"",""stimuli/c2_bas4.jpg"",""stimuli/c2_sub5.jpg""]","[4,13,6,19]","[3784,6418,7216,9505]","[""select"",""select"",""select"",""select""]","[""stimuli/c2_sub4.jpg"",""stimuli/c2_bas3.jpg"",""stimuli/c2_bas4.jpg"",""stimuli/c2_sub5.jpg""]",11455,1,stimuli/c2_sub4.jpg,subordinate,vehicles,1,1
Beaver,p0dl5tzjk4h,8,3,76578,1-item,vehicles,one-subordinate,"[""stimuli/c2_sub4.jpg"",""stimuli/c2_bas3.jpg"",""stimuli/c2_bas4.jpg"",""stimuli/c2_sub5.jpg""]","[4,13,6,19]","[3784,6418,7216,9505]","[""select"",""select"",""select"",""select""]","[""stimuli/c2_sub4.jpg"",""stimuli/c2_bas3.jpg"",""stimuli/c2_bas4.jpg"",""stimuli/c2_sub5.jpg""]",11455,2,stimuli/c2_bas3.jpg,basic,vehicles,1,0
