"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","timeout","failed_images","failed_audio","failed_video","stimulus","response","condition","category","level","selection_array","selection_index","rt_array","selection_type_array","final_choice_array","final_rt"
"true","1452594","fullscreen","0","null","4187718","p7btkmsoztz","eagle","","","","","","","","","","","","","","",""
"true","","preload","1","2.0.0","4188071","p7btkmsoztz","eagle","false","[]","[]","[]","","","","","","","","","","",""
"","1263","html-keyboard-response","2","2.0.0","4189334","p7btkmsoztz","eagle","","","","","Welcome to the experiment. Press any key to begin.","ArrowRight","","","","","","","","",""
"","3155","survey-text","3","2.0.0","4192495","p7btkmsoztz","eagle","","","","","","{""participant_id"":""eagle""}","","","","","","","","",""
"","3981","html-keyboard-response","4","2.0.0","4196478","p7btkmsoztz","eagle","","","","","
  <p><b>This is Mr. Frog!</b></p>
  <img src=""stimuli/mrfrog.png"" alt=""Mr. Frog"" style=""width:300px;height:300px;"">
  <p>He speaks a different language and needs help finding the items he wants. Can you help Mr. Frog?</p>
  <p>Press any key to move to the next page.</p>
","ArrowRight","","","","","","","","",""
"","7388","html-keyboard-response","5","2.0.0","4203866","p7btkmsoztz","eagle","","","","","
  <img src=""stimuli/mrfrog.png"" alt=""Mr. Frog"" style=""width:300px;height:300px;"">
  <p>In each trial, you will be shown an image that will be labeled with a word in the language that Mr. Frog speaks. </p>
  <p>Your job will be to select all the items that you think matches what Mr. Frog is asking for. </p>
  <p>Press any key to begin.</p>
","ArrowRight","","","","","","","","",""
"","","html-button-response","6","2.0.0","4231461","p7btkmsoztz","eagle","","","","","<img src=""stimuli/c2_sub1.jpg"" style=""width:200px;height:200px;""> 
              <p>Here is a fep. Can you give Mr. Frog all the other feps?</p>
              <p>Click on all of the feps below. If you change your mind, you can unselect any image.</p>
              <p>Click the Submit button when you are done selecting all the feps.</p>","","1-item","vehicles","one-subordinate","[""stimuli/c2_sub4.jpg"",""stimuli/c2_sub4.jpg"",""stimuli/c2_sub4.jpg"",""stimuli/c2_bas4.jpg"",""stimuli/c2_sub5.jpg"",""stimuli/c2_bas3.jpg""]","[7,7,7,16,20,4]","[5721,7912,8726,9353,11938,13970]","[""select"",""unselect"",""select"",""select"",""select"",""select""]","[""stimuli/c2_sub4.jpg"",""stimuli/c2_bas4.jpg"",""stimuli/c2_sub5.jpg"",""stimuli/c2_bas3.jpg""]","27589"
"","","html-button-response","7","2.0.0","4240845","p7btkmsoztz","eagle","","","","","<img src=""stimuli/c3_sub1.jpg"" style=""width:200px;height:200px;""> 
              <p>Here is a tev. Can you give Mr. Frog all the other tevs?</p>
              <p>Click on all of the tevs below. If you change your mind, you can unselect any image.</p>
              <p>Click the Submit button when you are done selecting all the tevs.</p>","","1-item","animals","one-subordinate","[""stimuli/c3_sub5.jpg"",""stimuli/c3_sub4.jpg"",""stimuli/c3_bas4.jpg"",""stimuli/c3_bas3.jpg""]","[0,11,17,18]","[3643,4760,5527,6477]","[""select"",""select"",""select"",""select""]","[""stimuli/c3_sub5.jpg"",""stimuli/c3_sub4.jpg"",""stimuli/c3_bas4.jpg"",""stimuli/c3_bas3.jpg""]","9378"
"","","html-button-response","8","2.0.0","4251326","p7btkmsoztz","eagle","","","","","<img src=""stimuli/c1_sub1.jpg"" style=""width:200px;height:200px;""> 
              <p>Here is a sib. Can you give Mr. Frog all the other sibs?</p>
              <p>Click on all of the sibs below. If you change your mind, you can unselect any image.</p>
              <p>Click the Submit button when you are done selecting all the sibs.</p>","","1-item","vegetables","one-subordinate","[""stimuli/c1_sub5.jpg"",""stimuli/c1_sub4.jpg"",""stimuli/c1_bas4.jpg"",""stimuli/c1_bas3.jpg""]","[2,14,8,6]","[3095,3795,4244,5794]","[""select"",""select"",""select"",""select""]","[""stimuli/c1_sub5.jpg"",""stimuli/c1_sub4.jpg"",""stimuli/c1_bas4.jpg"",""stimuli/c1_bas3.jpg""]","10478"
"","","html-button-response","9","2.0.0","4260175","p7btkmsoztz","eagle","","","","","<img src=""stimuli/c1_sup1.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c1_sub1.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c1_sup2.jpg"" style=""width:200px;height:200px; margin: 5px;""><p>Here are some meps. Can you give Mr. Frog all the other meps?</p>
                                 <p>Click on all of the meps below. If you change your mind, you can unselect any image.</p>
                                 <p>Click the Submit button when you are done selecting all the meps.</p>","","3-item","vegetables","superordinate","[""stimuli/c1_sup3.jpg"",""stimuli/c1_bas4.jpg"",""stimuli/c1_sub5.jpg"",""stimuli/c1_sup5.jpg"",""stimuli/c1_sup4.jpg"",""stimuli/c1_sup6.jpg"",""stimuli/c1_bas3.jpg"",""stimuli/c1_sub4.jpg""]","[1,4,5,6,9,15,16,22]","[3045,3613,4029,4579,5180,5697,6095,7129]","[""select"",""select"",""select"",""select"",""select"",""select"",""select"",""select""]","[""stimuli/c1_sup3.jpg"",""stimuli/c1_bas4.jpg"",""stimuli/c1_sub5.jpg"",""stimuli/c1_sup5.jpg"",""stimuli/c1_sup4.jpg"",""stimuli/c1_sup6.jpg"",""stimuli/c1_bas3.jpg"",""stimuli/c1_sub4.jpg""]","8845"
