"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","timeout","failed_images","failed_audio","failed_video","stimulus","response","condition","category","level","selection_array","selection_index","rt_array","selection_type_array","final_choice_array","final_rt"
"true","1648","fullscreen","0","null","2651","ph35mdsngb9","trex","","","","","","","","","","","","","","",""
"true","","preload","1","2.0.0","3140","ph35mdsngb9","trex","false","[]","[]","[]","","","","","","","","","","",""
"","950","html-keyboard-response","2","2.0.0","4091","ph35mdsngb9","trex","","","","","Welcome to the experiment. Press any key to begin."," ","","","","","","","","",""
"","2807","survey-text","3","2.0.0","6902","ph35mdsngb9","trex","","","","","","{""participant_id"":""trex""}","","","","","","","","",""
"","5914","html-keyboard-response","4","2.0.0","12817","ph35mdsngb9","trex","","","","","
  <p><b>This is Mr. Frog!</b></p>
  <img src=""stimuli/mrfrog.png"" alt=""Mr. Frog"" style=""width:300px;height:300px;"">
  <p>He speaks a different language and needs help finding the items he wants. Can you help Mr. Frog?</p>
  <p>Press any key to move to the next page.</p>
"," ","","","","","","","","",""
"","7842","html-keyboard-response","5","2.0.0","20661","ph35mdsngb9","trex","","","","","
  <img src=""stimuli/mrfrog.png"" alt=""Mr. Frog"" style=""width:300px;height:300px;"">
  <p>In each trial, you will be shown an image that will be labeled with a word in the language that Mr. Frog speaks. </p>
  <p>Your job will be to select all the items that you think matches what Mr. Frog is asking for. </p>
  <p>Press any key to begin.</p>
"," ","","","","","","","","",""
"","","html-button-response","6","2.0.0","46899","ph35mdsngb9","trex","","","","","<img src=""stimuli/c1_sub1.jpg"" style=""width:200px;height:200px;""> 
              <p>Here is a wug. Can you give Mr. Frog all the other wugs?</p>
              <p>Click on all of the wugs below. If you change your mind, you can unselect any image.</p>
              <p>Click the Submit button when you are done selecting all the wugs.</p>","","1-item","vegetables","one-subordinate","[""stimuli/c1_sub5.jpg"",""stimuli/c1_bas3.jpg"",""stimuli/c1_bas4.jpg"",""stimuli/c1_sub5.jpg"",""stimuli/c1_sub5.jpg""]","[22,14,13,22,22]","[10434,20351,21868,23600,24934]","[""select"",""select"",""select"",""unselect"",""select""]","[""stimuli/c1_bas3.jpg"",""stimuli/c1_bas4.jpg"",""stimuli/c1_sub5.jpg""]","26234"
"","","html-button-response","7","2.0.0","56799","ph35mdsngb9","trex","","","","","<img src=""stimuli/c2_sub1.jpg"" style=""width:200px;height:200px;""> 
              <p>Here is a rab. Can you give Mr. Frog all the other rabs?</p>
              <p>Click on all of the rabs below. If you change your mind, you can unselect any image.</p>
              <p>Click the Submit button when you are done selecting all the rabs.</p>","","1-item","vehicles","one-subordinate","[""stimuli/c2_sub5.jpg"",""stimuli/c2_sub4.jpg""]","[6,15]","[6163,7212]","[""select"",""select""]","[""stimuli/c2_sub5.jpg"",""stimuli/c2_sub4.jpg""]","9896"
"","","html-button-response","8","2.0.0","63833","ph35mdsngb9","trex","","","","","<img src=""stimuli/c3_sub1.jpg"" style=""width:200px;height:200px;""> 
              <p>Here is a rif. Can you give Mr. Frog all the other rifs?</p>
              <p>Click on all of the rifs below. If you change your mind, you can unselect any image.</p>
              <p>Click the Submit button when you are done selecting all the rifs.</p>","","1-item","animals","one-subordinate","[""stimuli/c3_sub5.jpg"",""stimuli/c3_sub4.jpg""]","[15,12]","[2196,5363]","[""select"",""select""]","[""stimuli/c3_sub5.jpg"",""stimuli/c3_sub4.jpg""]","7030"
"","","html-button-response","9","2.0.0","79380","ph35mdsngb9","trex","","","","","<img src=""stimuli/c2_sup1.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c2_sub1.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c2_sup2.jpg"" style=""width:200px;height:200px; margin: 5px;""><p>Here are some feps. Can you give Mr. Frog all the other feps?</p>
                                 <p>Click on all of the feps below. If you change your mind, you can unselect any image.</p>
                                 <p>Click the Submit button when you are done selecting all the feps.</p>","","3-item","vehicles","superordinate","[""stimuli/c2_bas3.jpg"",""stimuli/c2_sub4.jpg"",""stimuli/c2_sub5.jpg""]","[23,20,6]","[6695,8795,12894]","[""select"",""select"",""select""]","[""stimuli/c2_bas3.jpg"",""stimuli/c2_sub4.jpg"",""stimuli/c2_sub5.jpg""]","15544"
"","","html-button-response","10","2.0.0","88649","ph35mdsngb9","trex","","","","","<img src=""stimuli/c1_sub3.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c1_sub1.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c1_sub2.jpg"" style=""width:200px;height:200px; margin: 5px;""><p>Here are some wugs. Can you give Mr. Frog all the other wugs?</p>
                                 <p>Click on all of the wugs below. If you change your mind, you can unselect any image.</p>
                                 <p>Click the Submit button when you are done selecting all the wugs.</p>","","3-item","vegetables","subordinate","[""stimuli/c1_sub4.jpg"",""stimuli/c1_sub5.jpg"",""stimuli/c1_bas4.jpg"",""stimuli/c1_bas3.jpg""]","[0,2,8,14]","[4016,4749,5399,6050]","[""select"",""select"",""select"",""select""]","[""stimuli/c1_sub4.jpg"",""stimuli/c1_sub5.jpg"",""stimuli/c1_bas4.jpg"",""stimuli/c1_bas3.jpg""]","9266"
