"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","timeout","failed_images","failed_audio","failed_video","stimulus","response","condition","category","level","selection_array","selection_index","rt_array","selection_type_array","final_choice_array","final_rt"
"true","4938","fullscreen","0","null","5947","prmo1eqejrh","axolotl","","","","","","","","","","","","","","",""
"true","","preload","1","2.0.0","8071","prmo1eqejrh","axolotl","false","[]","[]","[]","","","","","","","","","","",""
"","777","html-keyboard-response","2","2.0.0","8850","prmo1eqejrh","axolotl","","","","","Welcome to the experiment. Press any key to begin."," ","","","","","","","","",""
"","1023","survey-text","3","2.0.0","9877","prmo1eqejrh","axolotl","","","","","","{""participant_id"":""axolotl""}","","","","","","","","",""
"","2633","html-keyboard-response","4","2.0.0","12511","prmo1eqejrh","axolotl","","","","","
  <p><b>This is Mr. Frog!</b></p>
  <img src=""stimuli/mrfrog.png"" alt=""Mr. Frog"" style=""width:300px;height:300px;"">
  <p>He speaks a different language and needs help finding the items he wants. Can you help Mr. Frog?</p>
  <p>Press any key to move to the next page.</p>
"," ","","","","","","","","",""
"","2784","html-keyboard-response","5","2.0.0","15297","prmo1eqejrh","axolotl","","","","","
  <img src=""stimuli/mrfrog.png"" alt=""Mr. Frog"" style=""width:300px;height:300px;"">
  <p>In each trial, you will be shown an image that will be labeled with a word in the language that Mr. Frog speaks. </p>
  <p>Your job will be to select all the items that you think matches what Mr. Frog is asking for. </p>
  <p>Press any key to begin.</p>
"," ","","","","","","","","",""
"","","html-button-response","6","2.0.0","44448","prmo1eqejrh","axolotl","","","","","<img src=""stimuli/c3_sub1.jpg"" style=""width:200px;height:200px;""> 
              <p>Here is a tob. Can you give Mr. Frog all the other tobs?</p>
              <p>Click on all of the tobs below. If you change your mind, you can unselect any image.</p>
              <p>Click the Submit button when you are done selecting all the tobs.</p>","","1-item","animals","one-subordinate","[""stimuli/c3_sub4.jpg"",""stimuli/c3_sub5.jpg"",""stimuli/c3_sup3.jpg"",""stimuli/c3_sub4.jpg"",""stimuli/c3_sub5.jpg"",""stimuli/c3_sup3.jpg"",""stimuli/c3_sup3.jpg"",""stimuli/c3_bas4.jpg"",""stimuli/c3_bas3.jpg"",""stimuli/c3_sup4.jpg"",""stimuli/c3_sub5.jpg"",""stimuli/c3_sub4.jpg"",""stimuli/c3_sup3.jpg"",""stimuli/c3_sup5.jpg"",""stimuli/c3_sup6.jpg"",""stimuli/c3_sup3.jpg""]","[1,2,0,1,2,0,0,9,19,8,2,1,0,21,3,0]","[6128,7111,7501,7942,8521,10992,11712,14774,15476,16111,17606,18363,18808,23308,24353,27433]","[""select"",""select"",""select"",""unselect"",""unselect"",""unselect"",""select"",""select"",""select"",""select"",""select"",""select"",""unselect"",""select"",""select"",""select""]","[""stimuli/c3_bas4.jpg"",""stimuli/c3_bas3.jpg"",""stimuli/c3_sup4.jpg"",""stimuli/c3_sub5.jpg"",""stimuli/c3_sub4.jpg"",""stimuli/c3_sup5.jpg"",""stimuli/c3_sup6.jpg"",""stimuli/c3_sup3.jpg""]","29146"
"","","html-button-response","7","2.0.0","51406","prmo1eqejrh","axolotl","","","","","<img src=""stimuli/c2_sub1.jpg"" style=""width:200px;height:200px;""> 
              <p>Here is a mep. Can you give Mr. Frog all the other meps?</p>
              <p>Click on all of the meps below. If you change your mind, you can unselect any image.</p>
              <p>Click the Submit button when you are done selecting all the meps.</p>","","1-item","vehicles","one-subordinate","[""stimuli/c2_bas4.jpg"",""stimuli/c2_sup6.jpg"",""stimuli/c2_sup5.jpg"",""stimuli/c2_sub4.jpg"",""stimuli/c2_sup4.jpg"",""stimuli/c2_bas3.jpg"",""stimuli/c2_sup3.jpg"",""stimuli/c2_sub5.jpg""]","[6,8,9,10,11,14,19,17]","[1644,2257,2590,2969,3241,4540,4976,5544]","[""select"",""select"",""select"",""select"",""select"",""select"",""select"",""select""]","[""stimuli/c2_bas4.jpg"",""stimuli/c2_sup6.jpg"",""stimuli/c2_sup5.jpg"",""stimuli/c2_sub4.jpg"",""stimuli/c2_sup4.jpg"",""stimuli/c2_bas3.jpg"",""stimuli/c2_sup3.jpg"",""stimuli/c2_sub5.jpg""]","6954"
"","","html-button-response","8","2.0.0","58741","prmo1eqejrh","axolotl","","","","","<img src=""stimuli/c1_sub1.jpg"" style=""width:200px;height:200px;""> 
              <p>Here is a wug. Can you give Mr. Frog all the other wugs?</p>
              <p>Click on all of the wugs below. If you change your mind, you can unselect any image.</p>
              <p>Click the Submit button when you are done selecting all the wugs.</p>","","1-item","vegetables","one-subordinate","[""stimuli/c1_bas3.jpg"",""stimuli/c1_bas4.jpg"",""stimuli/c1_sup3.jpg"",""stimuli/c1_sup4.jpg"",""stimuli/c1_sup5.jpg"",""stimuli/c1_sup6.jpg"",""stimuli/c1_sub4.jpg"",""stimuli/c1_sub5.jpg""]","[3,2,7,10,11,17,16,14]","[2792,3050,3461,3896,4631,4886,5130,5636]","[""select"",""select"",""select"",""select"",""select"",""select"",""select"",""select""]","[""stimuli/c1_bas3.jpg"",""stimuli/c1_bas4.jpg"",""stimuli/c1_sup3.jpg"",""stimuli/c1_sup4.jpg"",""stimuli/c1_sup5.jpg"",""stimuli/c1_sup6.jpg"",""stimuli/c1_sub4.jpg"",""stimuli/c1_sub5.jpg""]","7329"
"","","html-button-response","9","2.0.0","63495","prmo1eqejrh","axolotl","","","","","<img src=""stimuli/c2_sub3.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c2_sub1.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c2_sub2.jpg"" style=""width:200px;height:200px; margin: 5px;""><p>Here are some meps. Can you give Mr. Frog all the other meps?</p>
                                 <p>Click on all of the meps below. If you change your mind, you can unselect any image.</p>
                                 <p>Click the Submit button when you are done selecting all the meps.</p>","","3-item","vehicles","subordinate","[""stimuli/c2_sub4.jpg"",""stimuli/c2_sub5.jpg"",""stimuli/c2_bas4.jpg"",""stimuli/c2_bas4.jpg""]","[2,20,18,18]","[1198,2858,3236,3920]","[""select"",""select"",""select"",""unselect""]","[""stimuli/c2_sub4.jpg"",""stimuli/c2_sub5.jpg""]","4750"
"","","html-button-response","10","2.0.0","70361","prmo1eqejrh","axolotl","","","","","<img src=""stimuli/c3_sup1.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c3_sup2.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c3_sub1.jpg"" style=""width:200px;height:200px; margin: 5px;""><p>Here are some sibs. Can you give Mr. Frog all the other sibs?</p>
                                 <p>Click on all of the sibs below. If you change your mind, you can unselect any image.</p>
                                 <p>Click the Submit button when you are done selecting all the sibs.</p>","","3-item","animals","superordinate","[""stimuli/c3_sup5.jpg"",""stimuli/c3_bas4.jpg"",""stimuli/c3_sup6.jpg"",""stimuli/c3_sub5.jpg"",""stimuli/c3_sup3.jpg"",""stimuli/c3_bas3.jpg"",""stimuli/c3_sub4.jpg""]","[4,8,9,0,15,16,18]","[2124,2930,3148,3566,4746,5016,5646]","[""select"",""select"",""select"",""select"",""select"",""select"",""select""]","[""stimuli/c3_sup5.jpg"",""stimuli/c3_bas4.jpg"",""stimuli/c3_sup6.jpg"",""stimuli/c3_sub5.jpg"",""stimuli/c3_sup3.jpg"",""stimuli/c3_bas3.jpg"",""stimuli/c3_sub4.jpg""]","6862"
