"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","timeout","failed_images","failed_audio","failed_video","stimulus","response","condition","category","level","selection_array","selection_index","rt_array","selection_type_array","final_choice_array","final_rt"
"true","1413","fullscreen","0","null","2418","pt2sphwltvz","flamingo","","","","","","","","","","","","","","",""
"true","","preload","1","2.0.0","2730","pt2sphwltvz","flamingo","false","[]","[]","[]","","","","","","","","","","",""
"","602","html-keyboard-response","2","2.0.0","3332","pt2sphwltvz","flamingo","","","","","Welcome to the experiment. Press any key to begin."," ","","","","","","","","",""
"","3615","survey-text","3","2.0.0","6951","pt2sphwltvz","flamingo","","","","","","{""participant_id"":""flamingo""}","","","","","","","","",""
"","5084","html-keyboard-response","4","2.0.0","12036","pt2sphwltvz","flamingo","","","","","
  <p><b>This is Mr. Frog!</b></p>
  <img src=""stimuli/mrfrog.png"" alt=""Mr. Frog"" style=""width:300px;height:300px;"">
  <p>He speaks a different language and needs help finding the items he wants. Can you help Mr. Frog?</p>
  <p>Press any key to move to the next page.</p>
"," ","","","","","","","","",""
"","6604","html-keyboard-response","5","2.0.0","18641","pt2sphwltvz","flamingo","","","","","
  <img src=""stimuli/mrfrog.png"" alt=""Mr. Frog"" style=""width:300px;height:300px;"">
  <p>In each trial, you will be shown an image that will be labeled with a word in the language that Mr. Frog speaks. </p>
  <p>Your job will be to select all the items that you think matches what Mr. Frog is asking for. </p>
  <p>Press any key to begin.</p>
"," ","","","","","","","","",""
"","","html-button-response","6","2.0.0","29764","pt2sphwltvz","flamingo","","","","","<img src=""stimuli/c1_sub1.jpg"" style=""width:200px;height:200px;""> 
              <p>Here is a sib. Can you give Mr. Frog all the other sibs?</p>
              <p>Click on all of the sibs below. If you change your mind, you can unselect any image.</p>
              <p>Click the Submit button when you are done selecting all the sibs.</p>","","1-item","vegetables","one-subordinate","[""stimuli/c1_bas3.jpg"",""stimuli/c1_bas4.jpg"",""stimuli/c1_sub4.jpg"",""stimuli/c1_sub5.jpg""]","[0,13,14,15]","[5315,6380,6903,7369]","[""select"",""select"",""select"",""select""]","[""stimuli/c1_bas3.jpg"",""stimuli/c1_bas4.jpg"",""stimuli/c1_sub4.jpg"",""stimuli/c1_sub5.jpg""]","11119"
"","","html-button-response","7","2.0.0","49201","pt2sphwltvz","flamingo","","","","","<img src=""stimuli/c2_sub1.jpg"" style=""width:200px;height:200px;""> 
              <p>Here is a rab. Can you give Mr. Frog all the other rabs?</p>
              <p>Click on all of the rabs below. If you change your mind, you can unselect any image.</p>
              <p>Click the Submit button when you are done selecting all the rabs.</p>","","1-item","vehicles","one-subordinate","[""stimuli/c2_sub4.jpg"",""stimuli/c2_bas3.jpg"",""stimuli/c2_bas4.jpg"",""stimuli/c2_sub5.jpg"",""stimuli/c2_sup3.jpg"",""stimuli/c2_sup3.jpg""]","[1,5,14,16,3,3]","[3051,4573,6334,8310,10561,15275]","[""select"",""select"",""select"",""select"",""select"",""unselect""]","[""stimuli/c2_sub4.jpg"",""stimuli/c2_bas3.jpg"",""stimuli/c2_bas4.jpg"",""stimuli/c2_sub5.jpg""]","19433"
"","","html-button-response","8","2.0.0","58002","pt2sphwltvz","flamingo","","","","","<img src=""stimuli/c3_sub1.jpg"" style=""width:200px;height:200px;""> 
              <p>Here is a mep. Can you give Mr. Frog all the other meps?</p>
              <p>Click on all of the meps below. If you change your mind, you can unselect any image.</p>
              <p>Click the Submit button when you are done selecting all the meps.</p>","","1-item","animals","one-subordinate","[""stimuli/c3_sub5.jpg"",""stimuli/c3_sub4.jpg"",""stimuli/c3_bas4.jpg"",""stimuli/c3_bas3.jpg""]","[14,23,17,15]","[2751,3627,4238,4945]","[""select"",""select"",""select"",""select""]","[""stimuli/c3_sub5.jpg"",""stimuli/c3_sub4.jpg"",""stimuli/c3_bas4.jpg"",""stimuli/c3_bas3.jpg""]","8798"
"","","html-button-response","9","2.0.0","67402","pt2sphwltvz","flamingo","","","","","<img src=""stimuli/c1_sub2.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c1_sub1.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c1_sub3.jpg"" style=""width:200px;height:200px; margin: 5px;""><p>Here are some sibs. Can you give Mr. Frog all the other sibs?</p>
                                 <p>Click on all of the sibs below. If you change your mind, you can unselect any image.</p>
                                 <p>Click the Submit button when you are done selecting all the sibs.</p>","","3-item","vegetables","subordinate","[""stimuli/c1_bas3.jpg"",""stimuli/c1_sub4.jpg"",""stimuli/c1_sub5.jpg"",""stimuli/c1_bas4.jpg""]","[2,18,21,22]","[2668,3400,4066,4564]","[""select"",""select"",""select"",""select""]","[""stimuli/c1_bas3.jpg"",""stimuli/c1_sub4.jpg"",""stimuli/c1_sub5.jpg"",""stimuli/c1_bas4.jpg""]","9395"
