"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","timeout","failed_images","failed_audio","failed_video","stimulus","response","condition","category","level","selection_array","selection_index","rt_array","selection_type_array","final_choice_array","final_rt"
"true","1186","fullscreen","0","null","2194","pvcxkgc1qo0","cricket","","","","","","","","","","","","","","",""
"true","","preload","1","2.0.0","3075","pvcxkgc1qo0","cricket","false","[]","[]","[]","","","","","","","","","","",""
"","1124","html-keyboard-response","2","2.0.0","4200","pvcxkgc1qo0","cricket","","","","","Welcome to the experiment. Press any key to begin."," ","","","","","","","","",""
"","7047","survey-text","3","2.0.0","11250","pvcxkgc1qo0","cricket","","","","","","{""participant_id"":""cricket""}","","","","","","","","",""
"","6201","html-keyboard-response","4","2.0.0","17453","pvcxkgc1qo0","cricket","","","","","
  <p><b>This is Mr. Frog!</b></p>
  <img src=""stimuli/mrfrog.png"" alt=""Mr. Frog"" style=""width:300px;height:300px;"">
  <p>He speaks a different language and needs help finding the items he wants. Can you help Mr. Frog?</p>
  <p>Press any key to move to the next page.</p>
"," ","","","","","","","","",""
"","9985","html-keyboard-response","5","2.0.0","27439","pvcxkgc1qo0","cricket","","","","","
  <img src=""stimuli/mrfrog.png"" alt=""Mr. Frog"" style=""width:300px;height:300px;"">
  <p>In each trial, you will be shown an image that will be labeled with a word in the language that Mr. Frog speaks. </p>
  <p>Your job will be to select all the items that you think matches what Mr. Frog is asking for. </p>
  <p>Press any key to begin.</p>
"," ","","","","","","","","",""
"","","html-button-response","6","2.0.0","49426","pvcxkgc1qo0","cricket","","","","","<img src=""stimuli/c2_sub1.jpg"" style=""width:200px;height:200px;""> 
              <p>Here is a rif. Can you give Mr. Frog all the other rifs?</p>
              <p>Click on all of the rifs below. If you change your mind, you can unselect any image.</p>
              <p>Click the Submit button when you are done selecting all the rifs.</p>","","1-item","vehicles","one-subordinate","[""stimuli/c2_sub5.jpg"",""stimuli/c2_bas4.jpg"",""stimuli/c2_bas3.jpg"",""stimuli/c2_sub4.jpg""]","[14,19,1,9]","[12260,13750,14832,19321]","[""select"",""select"",""select"",""select""]","[""stimuli/c2_sub5.jpg"",""stimuli/c2_bas4.jpg"",""stimuli/c2_bas3.jpg"",""stimuli/c2_sub4.jpg""]","21981"
"","","html-button-response","7","2.0.0","64889","pvcxkgc1qo0","cricket","","","","","<img src=""stimuli/c1_sub1.jpg"" style=""width:200px;height:200px;""> 
              <p>Here is a wug. Can you give Mr. Frog all the other wugs?</p>
              <p>Click on all of the wugs below. If you change your mind, you can unselect any image.</p>
              <p>Click the Submit button when you are done selecting all the wugs.</p>","","1-item","vegetables","one-subordinate","[""stimuli/c1_bas4.jpg"",""stimuli/c1_sub4.jpg"",""stimuli/c1_sub5.jpg"",""stimuli/c1_bas3.jpg""]","[1,7,4,17]","[5013,5640,6591,7426]","[""select"",""select"",""select"",""select""]","[""stimuli/c1_bas4.jpg"",""stimuli/c1_sub4.jpg"",""stimuli/c1_sub5.jpg"",""stimuli/c1_bas3.jpg""]","15458"
"","","html-button-response","8","2.0.0","79714","pvcxkgc1qo0","cricket","","","","","<img src=""stimuli/c3_sub1.jpg"" style=""width:200px;height:200px;""> 
              <p>Here is a mep. Can you give Mr. Frog all the other meps?</p>
              <p>Click on all of the meps below. If you change your mind, you can unselect any image.</p>
              <p>Click the Submit button when you are done selecting all the meps.</p>","","1-item","animals","one-subordinate","[""stimuli/c3_bas4.jpg"",""stimuli/c3_sub4.jpg"",""stimuli/c3_bas3.jpg"",""stimuli/c3_sub5.jpg""]","[2,5,17,13]","[6472,7322,8795,10388]","[""select"",""select"",""select"",""select""]","[""stimuli/c3_bas4.jpg"",""stimuli/c3_sub4.jpg"",""stimuli/c3_bas3.jpg"",""stimuli/c3_sub5.jpg""]","13752"
"","","html-button-response","9","2.0.0","92947","pvcxkgc1qo0","cricket","","","","","<img src=""stimuli/c1_bas2.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c1_bas1.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c1_sub1.jpg"" style=""width:200px;height:200px; margin: 5px;""><p>Here are some tobs. Can you give Mr. Frog all the other tobs?</p>
                                 <p>Click on all of the tobs below. If you change your mind, you can unselect any image.</p>
                                 <p>Click the Submit button when you are done selecting all the tobs.</p>","","3-item","vegetables","basic","[""stimuli/c1_bas4.jpg"",""stimuli/c1_sub5.jpg"",""stimuli/c1_bas3.jpg"",""stimuli/c1_sub4.jpg""]","[5,21,19,6]","[6095,7785,8665,10773]","[""select"",""select"",""select"",""select""]","[""stimuli/c1_bas4.jpg"",""stimuli/c1_sub5.jpg"",""stimuli/c1_bas3.jpg"",""stimuli/c1_sub4.jpg""]","13227"
