"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","timeout","failed_images","failed_audio","failed_video","stimulus","response","condition","category","level","selection_array","selection_index","rt_array","selection_type_array","final_choice_array","final_rt"
"true","15023","fullscreen","0","null","16027","px14kvabqqn","squirrel","","","","","","","","","","","","","","",""
"true","","preload","1","2.0.0","16555","px14kvabqqn","squirrel","false","[]","[]","[]","","","","","","","","","","",""
"","964","html-keyboard-response","2","2.0.0","17520","px14kvabqqn","squirrel","","","","","Welcome to the experiment. Press any key to begin."," ","","","","","","","","",""
"","987","survey-text","3","2.0.0","18511","px14kvabqqn","squirrel","","","","","","{""participant_id"":""squirrel""}","","","","","","","","",""
"","3415","html-keyboard-response","4","2.0.0","21928","px14kvabqqn","squirrel","","","","","
  <p><b>This is Mr. Frog!</b></p>
  <img src=""stimuli/mrfrog.png"" alt=""Mr. Frog"" style=""width:300px;height:300px;"">
  <p>He speaks a different language and needs help finding the items he wants. Can you help Mr. Frog?</p>
  <p>Press any key to move to the next page.</p>
","Enter","","","","","","","","",""
"","24493","html-keyboard-response","5","2.0.0","46422","px14kvabqqn","squirrel","","","","","
  <img src=""stimuli/mrfrog.png"" alt=""Mr. Frog"" style=""width:300px;height:300px;"">
  <p>In each trial, you will be shown an image that will be labeled with a word in the language that Mr. Frog speaks. </p>
  <p>Your job will be to select all the items that you think matches what Mr. Frog is asking for. </p>
  <p>Press any key to begin.</p>
"," ","","","","","","","","",""
"","","html-button-response","6","2.0.0","59172","px14kvabqqn","squirrel","","","","","<img src=""stimuli/c2_sub1.jpg"" style=""width:200px;height:200px;""> 
              <p>Here is a rif. Can you give Mr. Frog all the other rifs?</p>
              <p>Click on all of the rifs below. If you change your mind, you can unselect any image.</p>
              <p>Click the Submit button when you are done selecting all the rifs.</p>","","1-item","vehicles","one-subordinate","[""stimuli/c2_sub4.jpg"",""stimuli/c2_sub5.jpg"",""stimuli/c2_sub4.jpg"",""stimuli/c2_sub5.jpg"",""stimuli/c2_bas4.jpg"",""stimuli/c2_bas3.jpg""]","[4,10,4,10,23,0]","[5729,6330,6914,7395,9697,10797]","[""select"",""select"",""unselect"",""unselect"",""select"",""select""]","[""stimuli/c2_bas4.jpg"",""stimuli/c2_bas3.jpg""]","12746"
"","","html-button-response","7","2.0.0","69807","px14kvabqqn","squirrel","","","","","<img src=""stimuli/c1_sub1.jpg"" style=""width:200px;height:200px;""> 
              <p>Here is a mep. Can you give Mr. Frog all the other meps?</p>
              <p>Click on all of the meps below. If you change your mind, you can unselect any image.</p>
              <p>Click the Submit button when you are done selecting all the meps.</p>","","1-item","vegetables","one-subordinate","[""stimuli/c1_sub5.jpg"",""stimuli/c1_sub4.jpg"",""stimuli/c1_bas3.jpg""]","[10,22,2]","[2015,3814,5481]","[""select"",""select"",""select""]","[""stimuli/c1_sub5.jpg"",""stimuli/c1_sub4.jpg"",""stimuli/c1_bas3.jpg""]","10632"
"","","html-button-response","8","2.0.0","77024","px14kvabqqn","squirrel","","","","","<img src=""stimuli/c3_sub1.jpg"" style=""width:200px;height:200px;""> 
              <p>Here is a rab. Can you give Mr. Frog all the other rabs?</p>
              <p>Click on all of the rabs below. If you change your mind, you can unselect any image.</p>
              <p>Click the Submit button when you are done selecting all the rabs.</p>","","1-item","animals","one-subordinate","[""stimuli/c3_sub4.jpg"",""stimuli/c3_sub5.jpg""]","[22,18]","[3030,3946]","[""select"",""select""]","[""stimuli/c3_sub4.jpg"",""stimuli/c3_sub5.jpg""]","7214"
"","","html-button-response","9","2.0.0","89507","px14kvabqqn","squirrel","","","","","<img src=""stimuli/c3_sup2.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c3_sup1.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c3_sub1.jpg"" style=""width:200px;height:200px; margin: 5px;""><p>Here are some tevs. Can you give Mr. Frog all the other tevs?</p>
                                 <p>Click on all of the tevs below. If you change your mind, you can unselect any image.</p>
                                 <p>Click the Submit button when you are done selecting all the tevs.</p>","","3-item","animals","superordinate","[""stimuli/c3_bas4.jpg"",""stimuli/c3_sup6.jpg"",""stimuli/c3_sub5.jpg"",""stimuli/c3_sup3.jpg"",""stimuli/c3_sup5.jpg"",""stimuli/c3_bas3.jpg"",""stimuli/c3_sub4.jpg"",""stimuli/c3_sup4.jpg""]","[4,11,6,13,20,22,16,17]","[2562,3394,4762,5129,5660,6362,8378,9062]","[""select"",""select"",""select"",""select"",""select"",""select"",""select"",""select""]","[""stimuli/c3_bas4.jpg"",""stimuli/c3_sup6.jpg"",""stimuli/c3_sub5.jpg"",""stimuli/c3_sup3.jpg"",""stimuli/c3_sup5.jpg"",""stimuli/c3_bas3.jpg"",""stimuli/c3_sub4.jpg"",""stimuli/c3_sup4.jpg""]","12479"
"","","html-button-response","10","2.0.0","98723","px14kvabqqn","squirrel","","","","","<img src=""stimuli/c2_sup1.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c2_sub1.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c2_sup2.jpg"" style=""width:200px;height:200px; margin: 5px;""><p>Here are some sibs. Can you give Mr. Frog all the other sibs?</p>
                                 <p>Click on all of the sibs below. If you change your mind, you can unselect any image.</p>
                                 <p>Click the Submit button when you are done selecting all the sibs.</p>","","3-item","vehicles","superordinate","[""stimuli/c2_sub5.jpg"",""stimuli/c2_bas3.jpg"",""stimuli/c2_sub4.jpg"",""stimuli/c2_bas4.jpg"",""stimuli/c2_sup3.jpg"",""stimuli/c2_sup6.jpg""]","[6,14,18,23,17,15]","[2763,3346,3929,4946,5496,6079]","[""select"",""select"",""select"",""select"",""select"",""select""]","[""stimuli/c2_sub5.jpg"",""stimuli/c2_bas3.jpg"",""stimuli/c2_sub4.jpg"",""stimuli/c2_bas4.jpg"",""stimuli/c2_sup3.jpg"",""stimuli/c2_sup6.jpg""]","9212"
"","","html-button-response","11","2.0.0","106086","px14kvabqqn","squirrel","","","","","<img src=""stimuli/c1_sub1.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c1_sub2.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c1_sub3.jpg"" style=""width:200px;height:200px; margin: 5px;""><p>Here are some meps. Can you give Mr. Frog all the other meps?</p>
                                 <p>Click on all of the meps below. If you change your mind, you can unselect any image.</p>
                                 <p>Click the Submit button when you are done selecting all the meps.</p>","","3-item","vegetables","subordinate","[""stimuli/c1_sub4.jpg"",""stimuli/c1_bas3.jpg"",""stimuli/c1_sub5.jpg""]","[12,15,8]","[1962,2697,3246]","[""select"",""select"",""select""]","[""stimuli/c1_sub4.jpg"",""stimuli/c1_bas3.jpg"",""stimuli/c1_sub5.jpg""]","7360"
"","","html-button-response","12","2.0.0","112557","px14kvabqqn","squirrel","","","","","<img src=""stimuli/c2_sub1.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c2_sub2.jpg"" style=""width:200px;height:200px; margin: 5px;""><img src=""stimuli/c2_sub3.jpg"" style=""width:200px;height:200px; margin: 5px;""><p>Here are some rifs. Can you give Mr. Frog all the other rifs?</p>
                                 <p>Click on all of the rifs below. If you change your mind, you can unselect any image.</p>
                                 <p>Click the Submit button when you are done selecting all the rifs.</p>","","3-item","vehicles","subordinate","[""stimuli/c2_bas4.jpg"",""stimuli/c2_sub5.jpg"",""stimuli/c2_sub4.jpg""]","[0,18,17]","[1785,2818,3969]","[""select"",""select"",""select""]","[""stimuli/c2_bas4.jpg"",""stimuli/c2_sub5.jpg"",""stimuli/c2_sub4.jpg""]","6468"
